Team 1,Team 2,Venue,Winner,Man of the Match,Toss Winner
Namibia,Hong Kong,"Providence Stadium, Guyana, West Indies",Hong Kong,Babar Hayat,Hong Kong
Scotland,Australia,"Rajkot Cricket Stadium, India",Australia,Pat Cummins,Australia
Namibia,Zimbabwe,"National Stadium, Karachi, Pakistan",Zimbabwe,Craig Ervine,Zimbabwe
India,Papua New Guinea,"Kanpur Cricket Stadium, India",Papua New Guinea,Assad Vala,India
Bangladesh,Afghanistan,"Hyderabad Cricket Stadium, India",Bangladesh,Mushfiqur Rahim,Afghanistan
India,England,"Newlands, South Africa",England,Jason Roy,India
India,Scotland,"Queen's Sports Club, Zimbabwe",Scotland,Kyle Coetzer,Scotland
Zimbabwe,Australia,"VRA Cricket Ground, Netherlands",Zimbabwe,Craig Ervine,Australia
West Indies,Bangladesh,"Sharjah Cricket Stadium, UAE",West Indies,Andre Russell,West Indies
Nepal,Zimbabwe,"The Grange Club, Scotland",Nepal,Paras Khadka,Nepal
Australia,Bangladesh,"Patna Cricket Stadium, India",Australia,David Warner,Australia
England,Oman,"Sharjah Cricket Stadium, UAE",Oman,Bilal Khan,England
Nepal,New Zealand,"Jaipur Cricket Stadium, India",New Zealand,Trent Boult,New Zealand
Papua New Guinea,Sri Lanka,"Eden Gardens, India",Papua New Guinea,Charles Amini,Sri Lanka
Scotland,Oman,"Jharkhand State Cricket Association Stadium, India",Scotland,Mark Watt,Oman
Sri Lanka,Zimbabwe,"Kochi Cricket Stadium, India",Zimbabwe,Blessing Muzarabani,Zimbabwe
Nepal,Netherlands,"Sabina Park, Jamaica, West Indies",Netherlands,Bas de Leede,Nepal
South Africa,Namibia,"Warner Park, St Kitts, West Indies",Namibia,Ruben Trumpelmann,Namibia
Pakistan,Sri Lanka,"Hyderabad Cricket Stadium, India",Pakistan,Babar Azam,Sri Lanka
Afghanistan,Nepal,"Jaipur Cricket Stadium, India",Afghanistan,Mujeeb Ur Rahman,Afghanistan
West Indies,Sri Lanka,"Newlands, South Africa",Sri Lanka,Lasith Malinga,Sri Lanka
West Indies,Pakistan,"Perth Stadium, Australia",Pakistan,Babar Azam,West Indies
Ireland,Zimbabwe,"Dharamsala Cricket Stadium, India",Zimbabwe,Brendan Taylor,Zimbabwe
Australia,Oman,"The Grange Club, Scotland",Australia,Pat Cummins,Oman
Hong Kong,West Indies,"Punjab Cricket Association IS Bindra Stadium, India",Hong Kong,Ehsan Khan,West Indies
United Arab Emirates,Afghanistan,"Amini Park, Papua New Guinea",United Arab Emirates,Muhammad Usman,Afghanistan
Zimbabwe,Bangladesh,"Sharjah Cricket Stadium, UAE",Bangladesh,Mushfiqur Rahim,Bangladesh
Bangladesh,South Africa,"Saurashtra Cricket Association Stadium, India",Bangladesh,Mustafizur Rahman,South Africa
Nepal,Pakistan,"Nagpur Cricket Stadium, India",Pakistan,Babar Azam,Pakistan
West Indies,England,"Hyderabad Cricket Stadium, India",West Indies,Kieron Pollard,England
South Africa,Namibia,"Maharashtra Cricket Association Stadium, India",Namibia,Gerhard Erasmus,South Africa
Afghanistan,Zimbabwe,"Hagley Oval, New Zealand",Afghanistan,Rashid Khan,Zimbabwe
West Indies,England,"Lord's, England",West Indies,Andre Russell,England
Hong Kong,Ireland,"Dehradun Cricket Stadium, India",Ireland,Andrew Balbirnie,Ireland
India,Nepal,"Guwahati Cricket Stadium, India",India,Jasprit Bumrah,Nepal
Netherlands,Namibia,"Thiruvananthapuram Cricket Stadium, India",Netherlands,Max O'Dowd,Namibia
Bangladesh,Nepal,"Pune Cricket Stadium, India",Nepal,Dipendra Singh Airee,Nepal
United Arab Emirates,Ireland,"Jharkhand State Cricket Association Stadium, India",United Arab Emirates,Waheed Ahmed,Ireland
Netherlands,New Zealand,"Queen's Park Oval, Trinidad, West Indies",Netherlands,Fred Klaassen,New Zealand
Namibia,Pakistan,"Mission Road Ground, Hong Kong",Pakistan,Shadab Khan,Pakistan
United Arab Emirates,Zimbabwe,"Jharkhand State Cricket Association Stadium, India",United Arab Emirates,Muhammad Usman,United Arab Emirates
Scotland,Namibia,"Rajkot Cricket Stadium, India",Scotland,Safyaan Sharif,Scotland
Netherlands,Bangladesh,"Jharkhand State Cricket Association Stadium, India",Bangladesh,Mustafizur Rahman,Netherlands
United Arab Emirates,Namibia,"Galle International Stadium, Sri Lanka",United Arab Emirates,Ahmed Raza,Namibia
Bangladesh,Papua New Guinea,"Hyderabad Cricket Stadium, India",Bangladesh,Mahmudullah,Papua New Guinea
Oman,Netherlands,"Browne Park, Montserrat, West Indies",Netherlands,Ben Cooper,Oman
Scotland,Afghanistan,"Rajiv Gandhi International Cricket Stadium, India",Afghanistan,Hazratullah Zazai,Scotland
Sri Lanka,Pakistan,"National Stadium, Karachi, Pakistan",Sri Lanka,Kusal Perera,Pakistan
Namibia,Netherlands,"Al Amerat Cricket Ground, Oman",Netherlands,Max O'Dowd,Netherlands
England,Namibia,"Newlands, South Africa",England,Jos Buttler,England
Afghanistan,Papua New Guinea,"National Stadium, Karachi, Pakistan",Papua New Guinea,Nosaina Pokana,Papua New Guinea
Afghanistan,Zimbabwe,"Alokozay Kabul International Cricket Ground, Afghanistan",Zimbabwe,Blessing Muzarabani,Zimbabwe
Afghanistan,Nepal,"Providence Stadium, Guyana, West Indies",Nepal,Sandeep Lamichhane,Nepal
United Arab Emirates,Namibia,"Kensington Oval, Barbados, West Indies",United Arab Emirates,Waheed Ahmed,Namibia
West Indies,India,"Wankhede Stadium, India",West Indies,Jason Holder,West Indies
India,New Zealand,"Malahide Cricket Club Ground, Ireland",New Zealand,Kane Williamson,New Zealand
Nepal,South Africa,"Kochi Cricket Stadium, India",South Africa,Anrich Nortje,Nepal
West Indies,Papua New Guinea,"Gaddafi Stadium, Pakistan",Papua New Guinea,Charles Amini,Papua New Guinea
Hong Kong,Scotland,"Kabul International Cricket Stadium, Afghanistan",Scotland,Richie Berrington,Scotland
Australia,West Indies,"Eden Gardens, India",Australia,Pat Cummins,Australia
Hong Kong,Sri Lanka,"Gaddafi Stadium, Pakistan",Hong Kong,Nizakat Khan,Sri Lanka
South Africa,New Zealand,"M. A. Chidambaram Stadium, India",South Africa,David Miller,New Zealand
Sri Lanka,Oman,"Dharamsala Cricket Stadium, India",Oman,Zeeshan Maqsood,Oman
Papua New Guinea,Pakistan,"Gaddafi Stadium, Pakistan",Pakistan,Shaheen Afridi,Papua New Guinea
Nepal,Afghanistan,"Maharashtra Cricket Association Stadium, India",Nepal,Gyanendra Malla,Nepal
Papua New Guinea,Netherlands,"R. Premadasa Stadium, Sri Lanka",Papua New Guinea,Assad Vala,Papua New Guinea
Oman,Bangladesh,"Melbourne Cricket Ground, Australia",Oman,Khawar Ali,Oman
Pakistan,Bangladesh,"Amini Park, Papua New Guinea",Bangladesh,Mushfiqur Rahim,Bangladesh
Namibia,India,"Queen's Park Oval, Trinidad, West Indies",India,Hardik Pandya,Namibia
Nepal,Namibia,"Dharamsala Cricket Stadium, India",Namibia,David Wiese,Nepal
Scotland,Sri Lanka,"Sydney Cricket Ground, Australia",Scotland,Kyle Coetzer,Sri Lanka
Nepal,Bangladesh,"Melbourne Cricket Ground, Australia",Bangladesh,Tamim Iqbal,Nepal
Scotland,India,"Rajkot Cricket Stadium, India",India,Rishabh Pant,India
Papua New Guinea,Namibia,"Dubai International Stadium, UAE",Namibia,Ruben Trumpelmann,Namibia
Hong Kong,Nepal,"Rajiv Gandhi International Cricket Stadium, India",Hong Kong,Kinchit Shah,Hong Kong
United Arab Emirates,Bangladesh,"Sher-e-Bangla National Stadium, Bangladesh",United Arab Emirates,Ahmed Raza,Bangladesh
Scotland,Australia,"Wanderers Cricket Ground, Namibia",Scotland,Kyle Coetzer,Scotland
Bangladesh,Hong Kong,"Lord's, England",Bangladesh,Mushfiqur Rahim,Bangladesh
England,Ireland,"Vidarbha Cricket Association Stadium, India",Ireland,Paul Stirling,England
England,New Zealand,"Bay Oval, New Zealand",England,Jofra Archer,England
West Indies,Australia,"Holkar Stadium, India",Australia,Pat Cummins,Australia
Ireland,South Africa,"Chinnaswamy Stadium, India",Ireland,Andrew Balbirnie,South Africa
Bangladesh,United Arab Emirates,"Vidarbha Cricket Association Stadium, India",Bangladesh,Shakib Al Hasan,United Arab Emirates
Bangladesh,Oman,"Greenfield International Stadium, India",Oman,Khawar Ali,Bangladesh
West Indies,New Zealand,"The Grange Club, Scotland",West Indies,Jason Holder,New Zealand
Papua New Guinea,Bangladesh,"Kanpur Cricket Stadium, India",Bangladesh,Tamim Iqbal,Bangladesh
India,Zimbabwe,"Perth Stadium, Australia",Zimbabwe,Brendan Taylor,Zimbabwe
Hong Kong,South Africa,"Sheikh Zayed Stadium, UAE",Hong Kong,Babar Hayat,South Africa
Scotland,New Zealand,"Wanderers Stadium, South Africa",Scotland,George Munsey,New Zealand
Afghanistan,Nepal,"Warner Park, St Kitts, West Indies",Nepal,Gyanendra Malla,Nepal
Pakistan,West Indies,"Saurashtra Cricket Association Stadium, India",West Indies,Kieron Pollard,West Indies
Afghanistan,Zimbabwe,"Sharjah Cricket Stadium, UAE",Afghanistan,Mohammad Nabi,Zimbabwe
West Indies,South Africa,"Sheikh Zayed Stadium, UAE",South Africa,Anrich Nortje,West Indies
Netherlands,Nepal,"Newlands, South Africa",Nepal,Paras Khadka,Nepal
Scotland,Sri Lanka,"Patna Cricket Stadium, India",Sri Lanka,Kusal Perera,Sri Lanka
Oman,Pakistan,"Providence Stadium, Guyana, West Indies",Pakistan,Shaheen Afridi,Pakistan
Oman,Scotland,"Old Trafford, England",Oman,Zeeshan Maqsood,Scotland
Oman,South Africa,"M. A. Chidambaram Stadium, India",Oman,Zeeshan Maqsood,Oman
Papua New Guinea,New Zealand,"Al Amerat Cricket Ground, Oman",New Zealand,Kyle Jamieson,Papua New Guinea
Pakistan,Ireland,"Raipur International Cricket Stadium, India",Pakistan,Haris Rauf,Ireland
Sri Lanka,Nepal,"Bay Oval, New Zealand",Nepal,Karan KC,Nepal
England,Afghanistan,"Zahur Ahmed Chowdhury Stadium, Bangladesh",England,Joe Root,Afghanistan
Scotland,Sri Lanka,"Holkar Stadium, India",Scotland,Safyaan Sharif,Scotland
Afghanistan,England,"Eden Park, New Zealand",England,Jos Buttler,England
England,Ireland,"Chinnaswamy Stadium, India",Ireland,Paul Stirling,Ireland
Bangladesh,United Arab Emirates,"Wanderers Cricket Ground, Namibia",United Arab Emirates,Chirag Suri,United Arab Emirates
Namibia,Australia,"Jaipur Cricket Stadium, India",Namibia,JJ Smit,Namibia
Netherlands,Hong Kong,"Tribhuvan University International Cricket Ground, Nepal",Netherlands,Ben Cooper,Hong Kong
Nepal,Sri Lanka,"Mission Road Ground, Hong Kong",Nepal,Sandeep Lamichhane,Nepal
Afghanistan,Nepal,"Patna Cricket Stadium, India",Nepal,Paras Khadka,Nepal
New Zealand,India,"Eden Gardens, India",New Zealand,Ross Taylor,New Zealand
Scotland,Sri Lanka,"Kochi Cricket Stadium, India",Scotland,Mark Watt,Sri Lanka
Ireland,Nepal,"Malahide Cricket Club Ground, Ireland",Ireland,Paul Stirling,Nepal
Nepal,Zimbabwe,"Sharjah Cricket Stadium, UAE",Zimbabwe,Sean Williams,Zimbabwe
Hong Kong,Oman,"Gaddafi Stadium, Pakistan",Oman,Aqib Ilyas,Hong Kong
England,New Zealand,"Sabina Park, Jamaica, West Indies",New Zealand,Ross Taylor,England
Hong Kong,Bangladesh,"Punjab Cricket Association IS Bindra Stadium, India",Bangladesh,Tamim Iqbal,Hong Kong
Pakistan,Sri Lanka,"Adelaide Oval, Australia",Sri Lanka,Wanindu Hasaranga,Pakistan
Pakistan,Zimbabwe,"Gaddafi Stadium, Pakistan",Pakistan,Haris Rauf,Pakistan
Namibia,India,"Eden Park, New Zealand",Namibia,JJ Smit,Namibia
Netherlands,United Arab Emirates,"Newlands, South Africa",United Arab Emirates,Waheed Ahmed,Netherlands
Namibia,Scotland,"Wanderers Cricket Ground, Namibia",Scotland,George Munsey,Scotland
Bangladesh,Papua New Guinea,"Malahide Cricket Club Ground, Ireland",Papua New Guinea,Lega Siaka,Bangladesh
Australia,Sri Lanka,"Wankhede Stadium, India",Sri Lanka,Angelo Mathews,Australia
Scotland,Sri Lanka,"Vizag Cricket Stadium, India",Scotland,Mark Watt,Scotland
South Africa,Nepal,"Vizag Cricket Stadium, India",Nepal,Sandeep Lamichhane,South Africa
Afghanistan,India,"Sher-e-Bangla National Stadium, Bangladesh",India,Virat Kohli,India
United Arab Emirates,Afghanistan,"Saurashtra Cricket Association Stadium, India",Afghanistan,Mujeeb Ur Rahman,United Arab Emirates
Scotland,Papua New Guinea,"Newlands, South Africa",Scotland,Mark Watt,Papua New Guinea
Australia,Ireland,"Warner Park, St Kitts, West Indies",Australia,Steve Smith,Australia
Sri Lanka,Hong Kong,"Arun Jaitley Stadium, India",Sri Lanka,Kusal Perera,Sri Lanka
India,Afghanistan,"Sheikh Zayed Stadium, UAE",Afghanistan,Mohammad Nabi,India
Bangladesh,New Zealand,"Dubai International Stadium, UAE",New Zealand,Kane Williamson,New Zealand
Bangladesh,Papua New Guinea,"Hagley Oval, New Zealand",Papua New Guinea,Assad Vala,Papua New Guinea
Bangladesh,Afghanistan,"Lord's, England",Afghanistan,Hazratullah Zazai,Afghanistan
Bangladesh,England,"Queen's Sports Club, Zimbabwe",England,Jos Buttler,Bangladesh
Zimbabwe,Australia,"Al Amerat Cricket Ground, Oman",Zimbabwe,Blessing Muzarabani,Australia
South Africa,Australia,"Harare Sports Club, Zimbabwe",South Africa,Quinton de Kock,Australia
West Indies,Oman,"Feroz Shah Kotla Ground, India",Oman,Aqib Ilyas,Oman
India,Hong Kong,"Holkar Stadium, India",India,Jasprit Bumrah,India
Bangladesh,Sri Lanka,"Barsapara Stadium, India",Bangladesh,Mahmudullah,Bangladesh
New Zealand,Nepal,"Browne Park, Montserrat, West Indies",Nepal,Paras Khadka,New Zealand
Pakistan,Scotland,"Warner Park, St Kitts, West Indies",Pakistan,Babar Azam,Pakistan
West Indies,Zimbabwe,"Dubai International Stadium, UAE",West Indies,Nicholas Pooran,West Indies
New Zealand,Zimbabwe,"Punjab Cricket Association IS Bindra Stadium, India",New Zealand,Tom Latham,New Zealand
Netherlands,Hong Kong,"Perth Stadium, Australia",Netherlands,Pieter Seelaar,Hong Kong
Scotland,Netherlands,"Rajiv Gandhi International Cricket Stadium, India",Scotland,Kyle Coetzer,Netherlands
Oman,England,"Sabina Park, Jamaica, West Indies",Oman,Bilal Khan,Oman
Hong Kong,Namibia,"R. Premadasa Stadium, Sri Lanka",Hong Kong,Aizaz Khan,Namibia
South Africa,Papua New Guinea,"Warner Park, St Kitts, West Indies",South Africa,David Miller,Papua New Guinea
England,Afghanistan,"Bellerive Oval, Australia",England,Joe Root,Afghanistan
United Arab Emirates,West Indies,"Jaipur Cricket Stadium, India",West Indies,Andre Russell,West Indies
Nepal,Namibia,"Wanderers Stadium, South Africa",Nepal,Dipendra Singh Airee,Nepal
Oman,Bangladesh,"Gaddafi Stadium, Pakistan",Oman,Khawar Ali,Oman
Hong Kong,Bangladesh,"Eden Park, New Zealand",Bangladesh,Tamim Iqbal,Bangladesh
Australia,Scotland,"Barsapara Stadium, India",Australia,Mitchell Starc,Scotland
Papua New Guinea,Nepal,"Kochi Cricket Stadium, India",Papua New Guinea,Assad Vala,Papua New Guinea
India,Nepal,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, India",Nepal,Dipendra Singh Airee,India
Australia,Hong Kong,"Sheikh Zayed Stadium, UAE",Australia,Mitchell Starc,Hong Kong
United Arab Emirates,Netherlands,"Eden Gardens, India",Netherlands,Max O'Dowd,United Arab Emirates
New Zealand,United Arab Emirates,"Greenfield International Stadium, India",New Zealand,Kyle Jamieson,New Zealand
Australia,New Zealand,"Al Amerat Cricket Ground, Oman",New Zealand,Ross Taylor,New Zealand
West Indies,Scotland,"Vidarbha Cricket Association Stadium, India",Scotland,George Munsey,West Indies
Netherlands,Nepal,"Browne Park, Montserrat, West Indies",Nepal,Karan KC,Nepal
Ireland,Papua New Guinea,"Ranchi Cricket Stadium, India",Papua New Guinea,Nosaina Pokana,Papua New Guinea
Sri Lanka,Bangladesh,"Newlands, South Africa",Sri Lanka,Lasith Malinga,Bangladesh
United Arab Emirates,Scotland,"Galle International Stadium, Sri Lanka",United Arab Emirates,Waheed Ahmed,United Arab Emirates
Bangladesh,West Indies,"Wankhede Stadium, India",West Indies,Jason Holder,Bangladesh
Australia,Nepal,"Jharkhand State Cricket Association Stadium, India",Nepal,Paras Khadka,Nepal
South Africa,Netherlands,"Maharashtra Cricket Association Stadium, India",South Africa,Quinton de Kock,South Africa
Ireland,Bangladesh,"Dharamsala Cricket Stadium, India",Bangladesh,Shakib Al Hasan,Ireland
New Zealand,Namibia,"Cuttack Cricket Stadium, India",New Zealand,Trent Boult,Namibia
Oman,Papua New Guinea,"Eden Park, New Zealand",Papua New Guinea,Assad Vala,Oman
Hong Kong,Scotland,"Cuttack Cricket Stadium, India",Hong Kong,Nizakat Khan,Scotland
Ireland,Zimbabwe,"Sydney Cricket Ground, Australia",Zimbabwe,Blessing Muzarabani,Ireland
Namibia,West Indies,"M. A. Chidambaram Stadium, India",West Indies,Nicholas Pooran,West Indies
England,United Arab Emirates,"Barsapara Stadium, India",United Arab Emirates,Muhammad Usman,England
South Africa,Namibia,"The Grange Club, Scotland",South Africa,Anrich Nortje,South Africa
Oman,New Zealand,"Eden Gardens, India",Oman,Jatinder Singh,New Zealand
Scotland,Sri Lanka,"M. A. Chidambaram Stadium, India",Sri Lanka,Dinesh Chandimal,Sri Lanka
Pakistan,Afghanistan,"Pune Cricket Stadium, India",Afghanistan,Rashid Khan,Afghanistan
Zimbabwe,West Indies,"National Stadium, Karachi, Pakistan",Zimbabwe,Sikandar Raza,Zimbabwe
Afghanistan,Netherlands,"Bay Oval, New Zealand",Netherlands,Bas de Leede,Afghanistan
Nepal,England,"Mission Road Ground, Hong Kong",Nepal,Karan KC,Nepal
Sri Lanka,Nepal,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, India",Sri Lanka,Kusal Perera,Sri Lanka
Nepal,Australia,"Punjab Cricket Association IS Bindra Stadium, India",Nepal,Sandeep Lamichhane,Nepal
Scotland,Sri Lanka,"VRA Cricket Ground, Netherlands",Scotland,Mark Watt,Scotland
Afghanistan,Ireland,"Kochi Cricket Stadium, India",Afghanistan,Mujeeb Ur Rahman,Ireland
Zimbabwe,Hong Kong,"Wanderers Cricket Ground, Namibia",Hong Kong,Aizaz Khan,Zimbabwe
England,United Arab Emirates,"Vidarbha Cricket Association Stadium, India",United Arab Emirates,Chirag Suri,United Arab Emirates
United Arab Emirates,Ireland,"Hagley Oval, New Zealand",Ireland,Josh Little,United Arab Emirates
Scotland,Netherlands,"Newlands, South Africa",Netherlands,Ben Cooper,Netherlands
Namibia,Pakistan,"Thiruvananthapuram Cricket Stadium, India",Pakistan,Babar Azam,Namibia
Hong Kong,Ireland,"VRA Cricket Ground, Netherlands",Hong Kong,Ehsan Khan,Hong Kong
West Indies,Papua New Guinea,"Bellerive Oval, Australia",West Indies,Chris Gayle,Papua New Guinea
Sri Lanka,India,"Queen's Sports Club, Zimbabwe",Sri Lanka,Lasith Malinga,Sri Lanka
Papua New Guinea,India,"Tribhuvan University International Cricket Ground, Nepal",India,Virat Kohli,Papua New Guinea
Papua New Guinea,United Arab Emirates,"R. Premadasa Stadium, Sri Lanka",United Arab Emirates,Ahmed Raza,United Arab Emirates
Netherlands,South Africa,"Newlands, South Africa",Netherlands,Pieter Seelaar,South Africa
United Arab Emirates,Afghanistan,"Melbourne Cricket Ground, Australia",United Arab Emirates,Chirag Suri,Afghanistan
Australia,England,"Vidarbha Cricket Association Stadium, India",Australia,David Warner,Australia
Zimbabwe,Australia,"Alokozay Kabul International Cricket Ground, Afghanistan",Zimbabwe,Brendan Taylor,Australia
Pakistan,Netherlands,"Rajiv Gandhi International Cricket Stadium, India",Pakistan,Shadab Khan,Netherlands
Pakistan,Bangladesh,"Mission Road Ground, Hong Kong",Bangladesh,Tamim Iqbal,Bangladesh
Scotland,Australia,"Nagpur Cricket Stadium, India",Scotland,Richie Berrington,Scotland
South Africa,New Zealand,"Barsapara Stadium, India",South Africa,Kagiso Rabada,South Africa
Hong Kong,Namibia,"Browne Park, Montserrat, West Indies",Namibia,JJ Smit,Namibia
Hong Kong,West Indies,"Seddon Park, New Zealand",Hong Kong,Kinchit Shah,West Indies
England,Australia,"VRA Cricket Ground, Netherlands",Australia,Pat Cummins,Australia
Oman,England,"National Stadium, Karachi, Pakistan",Oman,Jatinder Singh,Oman
Nepal,Sri Lanka,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, India",Nepal,Karan KC,Nepal
Australia,Papua New Guinea,"Thiruvananthapuram Cricket Stadium, India",Australia,Steve Smith,Papua New Guinea
Hong Kong,New Zealand,"Tribhuvan University International Cricket Ground, Nepal",Hong Kong,Aizaz Khan,New Zealand
Pakistan,Oman,"Barsapara Stadium, India",Oman,Aqib Ilyas,Pakistan
Hong Kong,Ireland,"Sharjah Cricket Stadium, UAE",Ireland,Harry Tector,Hong Kong
United Arab Emirates,Netherlands,"Bay Oval, New Zealand",United Arab Emirates,Muhammad Usman,United Arab Emirates
Hong Kong,Nepal,"Cuttack Cricket Stadium, India",Nepal,Dipendra Singh Airee,Nepal
Netherlands,England,"Amini Park, Papua New Guinea",Netherlands,Fred Klaassen,Netherlands
Australia,South Africa,"Harare Sports Club, Zimbabwe",Australia,Glenn Maxwell,South Africa
Papua New Guinea,Zimbabwe,"Feroz Shah Kotla Ground, India",Zimbabwe,Brendan Taylor,Zimbabwe
Bangladesh,England,"Bay Oval, New Zealand",Bangladesh,Mustafizur Rahman,England
United Arab Emirates,Oman,"Jaipur Cricket Stadium, India",Oman,Aqib Ilyas,Oman
South Africa,Afghanistan,"M. A. Chidambaram Stadium, India",South Africa,David Miller,South Africa
England,West Indies,"Sharjah Cricket Stadium, UAE",West Indies,Andre Russell,West Indies
West Indies,Ireland,"Kensington Oval, Barbados, West Indies",Ireland,Kevin O'Brien,Ireland
Afghanistan,Papua New Guinea,"Sabina Park, Jamaica, West Indies",Papua New Guinea,Lega Siaka,Papua New Guinea
Bangladesh,West Indies,"Kabul International Cricket Stadium, Afghanistan",West Indies,Chris Gayle,West Indies
Papua New Guinea,South Africa,"Cuttack Cricket Stadium, India",Papua New Guinea,Tony Ura,Papua New Guinea
Sri Lanka,Ireland,"Dharamsala Cricket Stadium, India",Sri Lanka,Angelo Mathews,Sri Lanka
Afghanistan,Nepal,"Chinnaswamy Stadium, India",Afghanistan,Mujeeb Ur Rahman,Afghanistan
Zimbabwe,Pakistan,"Dehradun Cricket Stadium, India",Zimbabwe,Craig Ervine,Zimbabwe
United Arab Emirates,India,"Alokozay Kabul International Cricket Ground, Afghanistan",United Arab Emirates,Ahmed Raza,United Arab Emirates
Bangladesh,India,"Maharashtra Cricket Association Stadium, India",India,Virat Kohli,India
Australia,Ireland,"Sher-e-Bangla National Stadium, Bangladesh",Ireland,Josh Little,Ireland
South Africa,West Indies,"Al Amerat Cricket Ground, Oman",South Africa,Kagiso Rabada,West Indies
Pakistan,Zimbabwe,"Old Trafford, England",Zimbabwe,Sikandar Raza,Pakistan
Afghanistan,Zimbabwe,"Himachal Pradesh Cricket Association Stadium, India",Zimbabwe,Craig Ervine,Afghanistan
Oman,Sri Lanka,"Saurashtra Cricket Association Stadium, India",Oman,Bilal Khan,Sri Lanka
Scotland,England,"Pune Cricket Stadium, India",Scotland,Richie Berrington,Scotland
Bangladesh,Oman,"Chinnaswamy Stadium, India",Bangladesh,Shakib Al Hasan,Bangladesh
Netherlands,Australia,"Rajkot Cricket Stadium, India",Australia,Steve Smith,Australia
Nepal,Ireland,"Feroz Shah Kotla Ground, India",Ireland,Harry Tector,Ireland
India,Papua New Guinea,"Sydney Cricket Ground, Australia",India,Hardik Pandya,Papua New Guinea
Namibia,Pakistan,"Saurashtra Cricket Association Stadium, India",Pakistan,Mohammad Rizwan,Namibia
Zimbabwe,Australia,"Sheikh Zayed Stadium, UAE",Zimbabwe,Sean Williams,Australia
Papua New Guinea,New Zealand,"Raipur International Cricket Stadium, India",New Zealand,Kane Williamson,Papua New Guinea
West Indies,United Arab Emirates,"Gaddafi Stadium, Pakistan",United Arab Emirates,Chirag Suri,United Arab Emirates
Nepal,United Arab Emirates,"Queen's Sports Club, Zimbabwe",United Arab Emirates,Rohan Mustafa,Nepal
Nepal,West Indies,"Pune Cricket Stadium, India",West Indies,Jason Holder,Nepal
New Zealand,United Arab Emirates,"Eden Park, New Zealand",United Arab Emirates,Muhammad Usman,New Zealand
Zimbabwe,Papua New Guinea,"Holkar Stadium, India",Zimbabwe,Brendan Taylor,Papua New Guinea
Sri Lanka,Hong Kong,"Sharjah Cricket Stadium, UAE",Sri Lanka,Wanindu Hasaranga,Hong Kong
Australia,Pakistan,"Newlands, South Africa",Pakistan,Babar Azam,Pakistan
United Arab Emirates,Papua New Guinea,"Newlands, South Africa",United Arab Emirates,Muhammad Usman,Papua New Guinea
West Indies,England,"Warner Park, St Kitts, West Indies",England,Joe Root,West Indies
Bangladesh,Afghanistan,"Wanderers Cricket Ground, Namibia",Afghanistan,Hazratullah Zazai,Afghanistan
Scotland,England,"Arun Jaitley Stadium, India",Scotland,Mark Watt,England
Netherlands,Namibia,"Cuttack Cricket Stadium, India",Namibia,David Wiese,Netherlands
West Indies,Oman,"Perth Stadium, Australia",Oman,Jatinder Singh,West Indies
Netherlands,England,"Harare Sports Club, Zimbabwe",England,Ben Stokes,Netherlands
New Zealand,Ireland,"Saurashtra Cricket Association Stadium, India",Ireland,Andrew Balbirnie,New Zealand
India,Netherlands,"R. Premadasa Stadium, Sri Lanka",India,Jasprit Bumrah,Netherlands
Afghanistan,Hong Kong,"Browne Park, Montserrat, West Indies",Afghanistan,Hazratullah Zazai,Hong Kong
England,Australia,"Dehradun Cricket Stadium, India",Australia,Glenn Maxwell,Australia
United Arab Emirates,New Zealand,"Feroz Shah Kotla Ground, India",New Zealand,Trent Boult,New Zealand
United Arab Emirates,Nepal,"Barsapara Stadium, India",Nepal,Sandeep Lamichhane,United Arab Emirates
Sri Lanka,Netherlands,"Holkar Stadium, India",Netherlands,Pieter Seelaar,Netherlands
Bangladesh,Afghanistan,"Wanderers Stadium, South Africa",Bangladesh,Shakib Al Hasan,Bangladesh
United Arab Emirates,Afghanistan,"Tribhuvan University International Cricket Ground, Nepal",Afghanistan,Rashid Khan,Afghanistan
Zimbabwe,Papua New Guinea,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, India",Papua New Guinea,Nosaina Pokana,Papua New Guinea
England,West Indies,"Himachal Pradesh Cricket Association Stadium, India",England,Ben Stokes,England
Namibia,United Arab Emirates,"Galle International Stadium, Sri Lanka",Namibia,JJ Smit,Namibia
Papua New Guinea,Bangladesh,"Wanderers Stadium, South Africa",Bangladesh,Mushfiqur Rahim,Bangladesh
Netherlands,Afghanistan,"Adelaide Oval, Australia",Netherlands,Pieter Seelaar,Afghanistan
Sri Lanka,United Arab Emirates,"Dubai International Stadium, UAE",Sri Lanka,Dinesh Chandimal,Sri Lanka
West Indies,Ireland,"Old Trafford, England",West Indies,Kieron Pollard,West Indies
Hong Kong,Zimbabwe,"Patna Cricket Stadium, India",Hong Kong,Babar Hayat,Zimbabwe
Papua New Guinea,Netherlands,"Queen's Sports Club, Zimbabwe",Netherlands,Bas de Leede,Papua New Guinea
New Zealand,Nepal,"Chinnaswamy Stadium, India",New Zealand,Trent Boult,New Zealand
